image_path,ground_truth_text,crnn_prediction,cer_per_line,llm_correction,cer_before,cer_after,wer_before,wer_after,chrf_before,chrf_after
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_001.png,﻿Al,AR,0.5,Al,0.6666670000000000,0.6666670000000000,1.0,1.0,0.05747100000000000,0.05747100000000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_002.png,INFINITAMENTE AMABLE,NEINTTAMRNTE AMAE,0.3,ATENTAMENTE AMADO,0.3,0.4,1.0,1.0,0.3166950000000000,0.4747020000000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_003.png,NIÑO JESUS.,NNO B,0.727273,NNO B,0.7272729999999999,0.7272729999999999,1.0,1.0,0.03546100000000000,0.03546100000000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_004.png,"A Vos, Dulcissimo Niño","vos, Eadeitino Eelo",0.590909,"vos, Padre Justino",0.5909090000000000,0.7272729999999999,1.0,1.0,0.09956900000000000,0.0912010000000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_005.png,"JESUS, que no solo os","etus, que no solo os ",0.238095,"etus, que no solo os",0.23809500000000000,0.23809500000000000,0.2,0.2,0.6548160000000000,0.6548160000000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_006.png,dignasteis de llamaros,dignasteis de lamaros,0.045455,dignasteis de llamaros,0.045455000000000002,0.0,0.3333330000000000,0.0,0.8425450000000000,1.0
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_007.png,"Doctor de los Niños,","Doctor de los Miños, ",0.05,"Doctor de los Niños,",0.05,0.0,0.25,0.0,0.7409740000000000,1.0
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_008.png,sino también de assis-,sino tambien de asi,0.181818,sino tambien de asis-,0.18181800000000001,0.09090900000000000,0.5,0.5,0.5575150000000000,0.6173350000000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_009.png,"tir como Niño entre los Doctores,",tir como Miño entre los Doctores,0.060606,tir como Niño entre los Doctores,0.06060600000000000,0.030303000000000000,0.3333330000000000,0.16666700000000001,0.821426000000000,0.9644050000000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_010.png,se consagra humilde esta pequeña,se consagra humilde esta pequeña,0.0,se consagra humilde esta pequeña,0.0,0.0,0.0,0.0,1.0,1.0
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_011.png,"Instrucción de los Niños. Es assi,","lnstruccion de los Niños. Es assil,",0.0882350000000000,"Instruccion de los Niños. Es assi,",0.08823499999999999,0.029412000000000001,0.3333330000000000,0.16666700000000001,0.7901750000000000,0.8631890000000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_012.png,que ella también se dirige a la ju-,que ella tambien se dirige a la jue,0.057143,que ella tambien se dirige a la ju-,0.05714300000000000,0.02857100000000000,0.25,0.125,0.8182110000000000,0.85760400000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_013.png,"ventud; pero a esta, como recuer-","ventud, pero a esta, como recuer-",0.030303,"ventud, pero a esta, como recuer-",0.030303000000000000,0.030303000000000000,0.16666700000000001,0.16666700000000001,0.85760400000000,0.85760400000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_014.png,"do de lo que aprendió, a los Ni-","do de lo que aprendio, a los Ni-",0.03125,"do de lo que aprendio, a los Ni-",0.03125,0.03125,0.125,0.125,0.8377200000000000,0.8377200000000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_015.png,"ños, como precisa explicacion de","ños, como precisa explicacion de",0.0,"ños, como precisa explicacion de",0.0,0.0,0.0,0.0,1.0,1.0
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_016.png,lo que deben estudiar. Por este so-,lo que deben estudiar. Por este so-,0.0,lo que deben estudiar. Por este so-,0.0,0.0,0.0,0.0,1.0,1.0
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_017.png,lo titulo es muy vuestra; y por,logitulo es muy vuestra y y por,0.129032,lo titulo es muy vuestra y por,0.12903200000000001,0.03225800000000000,0.5714290000000000,0.14285700000000001,0.7322220000000000,0.8498260000000000
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_018.png,"ser para Niños, que confiais a la","ser para Niños, que confiais a la",0.0,"ser para Niños, que confiais a la",0.0,0.0,0.0,0.0,1.0,1.0
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_019.png,"educacion de vuestra Compañia,","educacion de vuestra Compañla,",0.033333,"educacion de vuestra Compañia,",0.03333300000000000,0.0,0.25,0.0,0.8957070000000000,1.0
/home/hemanth/Documents/RenAIssance/Test1/Data/ocr_dataset/val/images/buendia_-_instruccion_transcription/2_line_020.png,"lo es mucho mas. En Vos, (Divi-",lo es mucho mas. En Vos. FDivri-,0.096774,"lo es mucho mas. En Vos, Divi-",0.0967740000000000,0.03225800000000000,0.2857140000000000,0.14285700000000001,0.7451910000000000,0.8414509999999999
